10.7692,21.5385
11.5385,39.6154
13.5897,41.5385
18.9744,54.2308
17.6923,34.2308
20.7692,72.3077
25.8974,61.1538
28.2051,67.3077
31.0256,75.7692
43.5897,76.5385
54.1026,108.4615
35.3846,90
49.2308,91.1538
59.7436,94.2308
45.641,103.8462
66.9231,93.0769
68.7179,84.2308
70.5128,75.7692
79.2308,80.3846
80.2564,58.0769
72.8205,77.3077
66.4103,96.5385
52.3077,99.2308
26.4103,77.3077
14.359,40.7692
28.7179,54.2308
42.5641,73.4615
60.5128,78.8462
54.1026,92.3077
81.2821,75.7692
81.7949,55
95.641,48.8462
94.1026,31.9231
91.7949,64.6154
80.5128,65.7692
84.359,56.5385
89.7436,46.1538
101.5385,22.6923
98.4615,18.8462
